,id,area,structural_system,n_floors,ductility,roof,excentricity_ratio_EC8,excentricity_ratio_CR,radius_ratio_EC8,slenderness,slenderness_elevation,compactness,setback_ratio_NTC,hole_ratio_NTC,contact_force,confinement_ratio,contact_ang_acc,contact_angle,relative_position,city,geometry
0,1219.0,157.5870730910046,M,2,pre_code,metallic,0.008976577628118938,0.0012329215714342698,0.16324611240296652,3.1920474240567396,0.8539365907002389,0.9996828550002341,0.0,0.0,0.6418078663235284,0.7666640058523682,1.6131787835080564,1.1598768910183088,corner,san_jose,"POLYGON ((-84.10430500730814 9.92621016445557, -84.10426114083 9.926207284733033, -84.10411476715146 9.926197384267542, -84.10411786605196 9.926168721425364, -84.10411822251116 9.926165465330902, -84.10411858079256 9.926162203810737, -84.10412167795614 9.926133817650753, -84.10413772892497 9.926134988097381, -84.10415579902437 9.926136279075578, -84.10432434689122 9.926148313724525, -84.10431977784238 9.926211213227393, -84.10430500730814 9.92621016445557))"
1,1221.0,113.47233960721582,M,2,low_code,bright_concrete,0.014596644578535047,0.0019435684847221326,0.23217617651088307,3.3381907475620167,1.029110051932686,0.9977519272988308,0.0,0.0,0.020213340667616323,179.788572684824,0.06775498825659265,2.2665471770967325,confined,san_jose,"POLYGON ((-84.10471497248092 9.926286972128974, -84.10471542529444 9.92628404812199, -84.10472780219071 9.926111184748803, -84.10478183354633 9.926114431038345, -84.10476729758761 9.926289251863212, -84.10471497248092 9.926286972128974))"
2,1222.0,104.95548596317221,M,2,medium_code,metallic,0.25564190899651956,0.03975941804968817,0.2228979593064857,2.101109099953257,0.8489321484594308,0.8590999513418349,0.6913073066422228,0.0,0.28713152142626625,0.0,0.22046842615142648,0.0,lateral,san_jose,"POLYGON ((-84.10494245320368 9.926264079331668, -84.10494379419731 9.926126250825122, -84.10502872187048 9.926129422630833, -84.1050274506474 9.926165856456077, -84.10499874340347 9.926165393545345, -84.10499771707438 9.92626407933416, -84.10494245320368 9.926264079331668))"
3,1223.0,108.82992481416889,M,1,low_code,metallic,0.11836402450561226,0.016226049478204697,0.29095223619692234,1.5944732010632194,0.3631246258821217,1.0000000000000002,0.0,0.0,1.3793591226159665,0.34342309684113,0.4615529397490499,1.3151658216744841,corner,san_jose,"POLYGON ((-84.10455993687607 9.926220816993288, -84.10448215079306 9.926214906032602, -84.10448683990727 9.926124603165896, -84.10448793271394 9.926119720205518, -84.1044938570413 9.926108868089987, -84.10450124184997 9.926102219995276, -84.1045078068955 9.926098736816984, -84.10451751878283 9.926097015822895, -84.10452239771249 9.926096743041205, -84.10456243374976 9.926099081414344, -84.10455993687607 9.926220816993288))"
4,1225.0,74.30729941212846,M,2,low_code,metallic,0.029055176400701255,0.0051750884153259095,0.2816690924427719,2.40675740695758,1.0798207532952815,1.0,0.0,0.0,0.6553365267042892,4.344566853542323,0.23009190516645867,2.238663905847312,confined,san_jose,"POLYGON ((-84.10455993687607 9.926220816993288, -84.10456243374976 9.926099081414344, -84.10461571894417 9.926102636375022, -84.10460851965045 9.926211977702222, -84.10460402221155 9.926222828117197, -84.10455993687607 9.926220816993288))"
5,1226.0,103.6141470672351,M,1,low_code,metallic,0.3522342006467447,0.049317384522977945,0.25682866755955114,3.2982622792740544,0.5352470970517944,0.9319230354755784,0.3545109586468995,0.0,0.5494312182074874,5.0702695975419845,1.0951572274682415,1.588074488927387,confined,san_jose,"POLYGON ((-84.10460533381705 9.926282381289896, -84.10460735521264 9.926235278305834, -84.10461556597656 9.926104959730877, -84.10467135250867 9.926107783265907, -84.10466289694274 9.926225196048177, -84.10464147008173 9.926224634799519, -84.10463954240167 9.926282731237478, -84.10460533381705 9.926282381289896))"
6,1227.0,117.3627030645089,M,2,low_code,bright_concrete,0.010878963663668988,0.001435676739060518,0.22630625462540016,3.1581971733005263,0.984250896145869,0.9999999999999999,0.0,0.0,0.8157908957904191,3.32134144427045,1.2154526224573385,1.5427484194280883,confined,san_jose,"POLYGON ((-84.10466092323288 9.926282043410708, -84.10467135250867 9.926107783265907, -84.10472780219071 9.926111184748803, -84.10471542529444 9.92628404812199, -84.10466092323288 9.926282043410708))"
7,1229.0,89.2681196224975,M,2,low_code,bright_concrete,0.001581863030689805,0.00026152156748601794,0.24244436066838762,2.7831697495418215,1.0594315562950447,0.9968848754008393,0.0,0.0,0.5938329866743624,5.596312061949072,0.09566933568406548,2.580841720023285,confined,san_jose,"POLYGON ((-84.1048264780115 9.926293786161526, -84.10482808959915 9.926274313155268, -84.1048303679952 9.926240955112739, -84.10483162910823 9.92622051281999, -84.10483613148116 9.926151879871707, -84.10488707461877 9.926155164615523, -84.10487884088485 9.926297425374417, -84.1048264780115 9.926293786161526))"
8,1230.0,91.67490857988969,M,2,low_code,metallic,0.005051288521446467,0.0008323097918796043,0.24152062177136435,2.6119496942122926,1.0127643645712867,0.998129704770009,0.0,0.0,1.3125980376968611,0.46775745857839274,0.9136938248582955,0.0056981450841776275,lateral,san_jose,"POLYGON ((-84.10487884088485 9.926297425374417, -84.10488207964583 9.926248050978229, -84.10488744103421 9.926157586803075, -84.10494178945204 9.92615890523161, -84.1049327820219 9.92629798555576, -84.10487884088485 9.926297425374417))"
9,1232.0,124.44524538397943,W,2,pre_code,metallic,0.007593321995000098,0.000986672698943884,0.2394164846608995,2.2519926906225,0.8071338929597858,0.9906699346406546,0.0,0.0,0.0,0.0,0.0,0.0,isolated,san_jose,"POLYGON ((-84.10341455659989 9.926376856234423, -84.10341131696173 9.926310331977534, -84.10347360414023 9.926309951031687, -84.10356306688583 9.926306306578708, -84.10356746609105 9.92637538523234, -84.10341455659989 9.926376856234423))"
