EC8_compactness,GNDT_setback_slenderness,CR_eccentricity_ratio,GNDT_main_shape_slenderness,contact_confinement_ratio,contact_angle,contact_force,GNDT_eccentricity_ratio,area,height,NTC_hole_ratio,slenderness_bbox,slenderness_circunscribed,GNDT_setback_ratio,ASCE7_setback_ratio,slenderness_inertia,slenderness_elevation,perimeter,contact_angular_acc,inertia_vs_circle,EC8_eccentricity_ratio,EC8_radius_ratio,ASCE7_parallelity_angle,ASCE7_hole_ratio,NTC_setback_ratio,code_quality,roof_asphalt,roof_bright_concrete,roof_dark_shadow,roof_metallic,simplified_structural_system,id
0.6896748884232846,-0.2113448326127651,-0.6203204817713146,1.229756881917043,0.3175733225721904,2.03446087320686,3.1627558686536927,-0.010469018923103795,-0.7511816085344217,0.0846369061598315,-0.0829721363201274,-0.7788646476032325,-0.6738133910856765,-0.9591005033597783,-0.9626362209636783,-0.8674921774632927,1.722819946601126,-1.5346515359694233,-0.22185836291374114,1.132766316228719,-0.714280439451848,3.992412362615579,-0.043489728360667154,-0.06505515229791409,-0.9626362209636783,1.0,0.0,0.0,1.0,0.0,2,711
0.27722454384565376,-0.2113448326127651,-0.09463954105316727,-0.9850471923463772,-0.6125278271935352,-0.45548150993901027,-0.6350515454594354,0.8044140317142461,-0.07158899659616569,0.44349738827751717,-0.0829721363201274,0.7187403415718526,-0.521149204819656,-0.24554784967653973,-0.1532251521275847,0.7542085490551095,0.8111619672372512,0.200531674266934,-0.5402553084718779,-0.840050538360583,-0.09846864566995554,-0.6462015663174925,-0.21083197408161086,-0.06505515229791409,-0.1532251521275847,1.0,0.0,0.0,1.0,0.0,2,1131
0.6469437648750982,3.7501760741245205,-0.8459722562992538,0.10759304146356104,0.13337809368257725,1.6748104988411059,0.7649169954127844,-0.1297197016469083,-0.017388190070180456,-0.6330840580755398,-0.0829721363201274,-0.18862041276308206,0.14707349275312603,-0.8854790324497643,-0.8538041064589332,-0.2637638112287318,-0.8378951825441743,-0.06949775972773607,-0.5091329185079739,0.36275232421446224,-0.6943200919635716,-0.5608032725474997,-0.377914958218364,-0.06505515229791409,-0.8538041064589332,0.0,0.0,1.0,0.0,0.0,2,2786
0.6896748884232846,-0.2113448326127651,-0.8933541056150361,-0.05960513642021782,-0.6125278271935352,-0.4554814646858405,0.2948354030926284,-0.09194395132201341,-0.17577756262019867,-0.2742235759578542,-0.0829721363201274,-0.07302593472286922,0.29605890351316844,-0.9591005033597783,-0.9626362209636783,-0.1412414186395365,-0.34015342529005255,-0.2692324817620596,-0.11748620025151159,0.1952666304929372,-0.742280693998656,-0.3059380759643843,-0.3595997478445446,-0.06505515229791409,-0.9626362209636783,0.0,0.0,0.0,1.0,0.0,0,760
0.6896748884232846,-0.2113448326127651,-0.8734469194854232,0.32215415593233604,-0.6125278271935352,-0.45548150993901027,-0.6350515454594354,-0.07736900424549888,-0.6758389898013908,-0.6330840580755398,-0.0829721363201274,-0.3317362187061309,-0.6648984717789509,-0.9591005033597783,-0.9626362209636783,-0.45810513474357767,-0.39961895318306245,-1.2690260424110655,-0.5402553084718779,0.6281290854897285,-0.7417423561330598,2.7716627994957226,-0.10004044812815442,-0.06505515229791409,-0.9626362209636783,1.0,1.0,0.0,0.0,0.0,2,769
0.6896748884232846,-0.2113448326127651,-0.8814959841204776,0.19346119916744828,-0.6125278271935352,-0.45548150993901027,1.7603194094599446,-0.08409271275946809,-0.6740306720874217,-0.2742235759578542,-0.0829721363201274,-0.2516636119852165,0.08791525242029166,-0.9591005033597783,-0.9626362209636783,-0.3404943731676221,0.464533758067604,-1.2563455036583961,-0.3509226832582175,0.466748144169678,-0.7434300106237689,2.1239844993765553,-0.3613724765373538,-0.06505515229791409,-0.9626362209636783,0.0,0.0,0.0,1.0,0.0,0,2775
0.6135077439902507,-0.2113448326127651,-0.7690407707608193,-1.081090145615553,-0.6125278271935352,-0.45548150993901027,0.7660922922261215,-0.14545857214093677,-0.5587526359113242,-0.6330840580755398,-0.0829721363201274,1.2471772097823737,1.6173408653939312,-0.9332178180847853,-0.8981973960708236,1.0954149171184182,-0.36212960017324886,-0.8222034635200357,0.09319196581640056,-1.1637411641350093,-0.7146977439544415,-0.08519503396598103,-0.451668705632221,-0.06505515229791409,-0.8981973960708236,0.0,0.0,0.0,0.0,1.0,1,2150
0.579080654879319,-0.2113448326127651,-0.8294116124508292,-0.37611373469953285,-0.6125278271935352,-0.45548150993901027,-0.6350515454594354,-0.19113151405729356,0.3847099765262169,1.8789393167482598,-0.0829721363201274,0.16462458330809504,-0.7248389717559407,0.405772594669707,-0.38931390072004857,0.12978068058512443,1.3820562606206577,0.4972466564177155,-0.5402553084718779,-0.06448968446890564,-0.6415125460733894,-0.5919574033100929,1.3581731369326682,-0.06505515229791409,-0.38931390072004857,1.0,0.0,1.0,0.0,0.0,1,500
0.2425274187796601,-0.2113448326127651,0.014266000918992426,0.38646191400208124,-0.6125278271935352,-0.45548150993901027,-0.6350515454594354,-0.002370121839754629,0.8253242774294294,-0.6330840580755398,-0.0829721363201274,-0.4245082669506738,-0.7982104667226283,0.3526235232090751,0.41528727483960526,-0.46367034892526937,-0.9740929581150692,0.9213624050631274,-0.5402553084718779,0.6417507652812298,1.0839986117529405,-0.9838135474292006,-0.02380370511840066,-0.06505515229791409,0.41528727483960526,1.0,1.0,0.0,0.0,0.0,2,1322
-0.7608974396643557,-0.2113448326127651,-0.04087634667490558,-0.46574820578852033,0.7506440524478868,-0.4079838129419737,1.1068729543679363,0.12602842734084316,-0.1815282736668997,-0.2742235759578542,-0.0829721363201274,0.31466021126665406,0.3135331337660573,1.0846122978817605,1.2388317859912743,0.22946672572694646,-0.3684278636535216,0.026912189688605502,2.086281085577173,-0.446092126603382,-0.1450903745767737,-0.396705657282452,-0.3215399172235122,-0.06505515229791409,1.2388317859912743,1.0,0.0,1.0,0.0,0.0,2,3632
