Epoch,Loss
1,1.0644620656967163
2,1.0439075231552124
3,1.0260624885559082
4,1.0000251531600952
5,0.965021550655365
6,0.932248055934906
7,0.895548403263092
8,0.8629120588302612
9,0.837824821472168
10,0.8144078254699707
11,0.7991722226142883
12,0.7765604853630066
13,0.767848014831543
14,0.7555556297302246
15,0.7362878918647766
16,0.7415601015090942
17,0.7406700849533081
18,0.7179166078567505
19,0.7052441835403442
20,0.7021940350532532
21,0.7080726027488708
22,0.6910398602485657
23,0.6780986189842224
24,0.6755527853965759
25,0.6701026558876038
26,0.6651836633682251
27,0.6436172127723694
28,0.6495734453201294
29,0.6401385068893433
30,0.6332478523254395
31,0.6228463649749756
32,0.6248634457588196
33,0.6200476288795471
34,0.6131826043128967
35,0.6137007474899292
36,0.6076528429985046
37,0.6061249375343323
38,0.6035543084144592
39,0.5975353717803955
40,0.5914619565010071
41,0.5888885259628296
42,0.5893245339393616
43,0.5890718698501587
44,0.5901330709457397
45,0.5736097693443298
46,0.580443263053894
47,0.5648154020309448
48,0.5642318725585938
49,0.5657781958580017
50,0.5643830895423889
